company_name,rating,bio,salary,job,founded_in,field,other
TCS,3.3,IT Services & Consulting | Noida +438 other locations,969999.9999999999,2600.0,1968 (58 yrs old),IT Services & Consulting,Noida +438 other locations
Accenture,3.7,IT Services & Consulting | Noida +254 other locations,650000.0,36700.0,1989 (37 yrs old),IT Services & Consulting,Noida +254 other locations
Wipro,3.6,IT Services & Consulting | Noida +370 other locations,480000.0,5900.0,1945 (81 yrs old),IT Services & Consulting,Noida +370 other locations
Cognizant,3.6,IT Services & Consulting | Noida +229 other locations,600000.0,755.0,1994 (32 yrs old),IT Services & Consulting,Noida +229 other locations
Capgemini,3.7,IT Services & Consulting | Noida +184 other locations,480000.0,1700.0,1967 (59 yrs old),IT Services & Consulting,Noida +184 other locations
HDFC Bank,3.8,Banking | Noida +1821 other locations,150000.0,259.0,1994 (32 yrs old),Banking,Noida +1821 other locations
Infosys,3.5,IT Services & Consulting | Noida +246 other locations,520000.0,2600.0,,IT Services & Consulting,Noida +246 other locations
ICICI Bank,4.0,Banking | Noida +1436 other locations,150000.0,21.0,1994 (32 yrs old),Banking,Noida +1436 other locations
HCLTech,3.4,IT Services & Consulting | Noida +226 other locations,370000.0,165.0,,IT Services & Consulting,Noida +226 other locations
Tech Mahindra,3.4,IT Services & Consulting | Noida +331 other locations,280000.0,356.0,1986 (40 yrs old),IT Services & Consulting,Noida +331 other locations
Genpact,3.6,IT Services & Consulting | Noida +182 other locations,229999.99999999997,671.0,1997 (29 yrs old),IT Services & Consulting,Noida +182 other locations
Teleperformance,3.8,BPO | Noida +254 other locations,95700.0,1200.0,1978 (48 yrs old),BPO,Noida +254 other locations
Axis Bank,3.6,Banking | Noida +1498 other locations,100000.0,208.0,1993 (33 yrs old),Banking,Noida +1498 other locations
Jio,4.4,Telecom | Noida +1893 other locations,62100.0,3.0,2018 (8 yrs old),Telecom,Noida +1893 other locations
Concentrix Corporation,3.6,BPO | Noida +179 other locations,130000.0,79.0,1983 (43 yrs old),BPO,Noida +179 other locations
Amazon,3.9,Internet | Noida +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,Noida +518 other locations
iEnergizer,4.6,BPO | Noida +51 other locations,23900.0,69.0,,BPO,Noida +51 other locations
Reliance Retail,3.9,Retail | Noida +1150 other locations,74400.0,157.0,2006 (20 yrs old),Retail,Noida +1150 other locations
LTIMindtree,3.6,IT Services & Consulting | Noida +146 other locations,190000.0,444.0,1997 (29 yrs old),IT Services & Consulting,Noida +146 other locations
IBM,3.9,IT Services & Consulting | Noida +160 other locations,210000.0,293.0,1911 (115 yrs old),IT Services & Consulting,Noida +160 other locations
HDB Financial Services,3.9,NBFC | Noida +1089 other locations,50000.0,191.0,2007 (19 yrs old),NBFC,Noida +1089 other locations
Larsen & Toubro Limited,3.9,Engineering & Construction | Noida +754 other locations,23400.0,78.0,,Engineering & Construction,Noida +754 other locations
Deloitte,3.7,Management Consulting | Noida +187 other locations,250000.0,1400.0,1845 (181 yrs old),Management Consulting,Noida +187 other locations
Kotak Mahindra Bank,3.6,Banking | Noida +681 other locations,86800.0,67.0,,Banking,Noida +681 other locations
Reliance Industries,4.0,Oil & Gas | Noida +812 other locations,72400.0,60.0,1977 (49 yrs old),Oil & Gas,Noida +812 other locations
Vodafone Idea,3.9,Telecom | Noida +704 other locations,50300.0,27.0,2018 (8 yrs old),Telecom,Noida +704 other locations
Bharti Airtel,3.8,Telecom | Noida +789 other locations,48900.0,112.0,1952 (74 yrs old),Telecom,Noida +789 other locations
BYJU'S,3.2,EdTech | Noida +321 other locations,53600.0,78.0,2011 (15 yrs old),EdTech,Noida +321 other locations
WNS,3.3,IT Services & Consulting | Noida +65 other locations,68700.0,79.0,1996 (30 yrs old),IT Services & Consulting,Noida +65 other locations
