company_name,rating,bio,salary,job,founded_in,field,other
Carelon Global Solutions,3.9,IT Services & Consulting | Mumbai +21 other locations,26600.0,21.0,10k-50k,IT Services & Consulting,Mumbai +21 other locations
Publicis Sapient,3.4,IT Services & Consulting | Mumbai +46 other locations,30900.0,257.0,,IT Services & Consulting,Mumbai +46 other locations
Viatris,4.1,Pharma | Mumbai +81 other locations,14200.0,4.0,,Pharma,Mumbai +81 other locations
PVR INOX,3.9,Media & Entertainment | Mumbai +150 other locations,24000.0,77.0,,Media & Entertainment,Mumbai +150 other locations
Subros,3.8,Auto Components | Mumbai +88 other locations,12500.0,1.0,1985 (41 yrs old),Auto Components,Mumbai +88 other locations
XpressBees,4.2,Logistics | Mumbai +474 other locations,8200.0,12.0,2015 (11 yrs old),Logistics,Mumbai +474 other locations
American Express,4.1,Financial Services | Mumbai +53 other locations,24500.0,146.0,1850 (176 yrs old),Financial Services,Mumbai +53 other locations
Automatic Data Processing (ADP),3.9,Software Product | Mumbai +40 other locations,24000.0,77.0,,Software Product,Mumbai +40 other locations
PNB MetLife,3.4,Insurance | Mumbai +424 other locations,8000.0,15.0,2001 (25 yrs old),Insurance,Mumbai +424 other locations
Kyndryl,3.9,IT Services & Consulting | Mumbai +37 other locations,26100.0,35.0,,IT Services & Consulting,Mumbai +37 other locations
Escorts Kubota Limited,4.1,Automobile | Mumbai +155 other locations,13300.0,3.0,,Automobile,Mumbai +155 other locations
Aditya Birla Sun Life Insurance,4.0,Insurance | Mumbai +488 other locations,9900.0,77.0,2000 (26 yrs old),Insurance,Mumbai +488 other locations
Aditya Birla Capital,3.8,NBFC | Mumbai +338 other locations,14100.0,1.0,2017 (9 yrs old),NBFC,Mumbai +338 other locations
Grasim Industries,4.0,Building Material | Mumbai +241 other locations,12700.0,4.0,1947 (79 yrs old),Building Material,Mumbai +241 other locations
Maersk,4.0,Logistics | Mumbai +49 other locations,18900.0,31.0,,Logistics,Mumbai +49 other locations
Synechron,3.5,IT Services & Consulting | Mumbai +32 other locations,27900.0,58.0,2001 (25 yrs old),IT Services & Consulting,Mumbai +32 other locations
Glenmark Pharmaceuticals,3.8,Pharma | Mumbai +184 other locations,12100.0,128.0,1977 (49 yrs old),Pharma,Mumbai +184 other locations
Birlasoft,3.5,IT Services & Consulting | Mumbai +50 other locations,29700.0,444.0,1995 (31 yrs old),IT Services & Consulting,Mumbai +50 other locations
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances | Mumbai +165 other locations,24000.0,77.0,,Consumer Electronics & Appliances,Mumbai +165 other locations
Dabur,3.8,FMCG | Mumbai +320 other locations,8800.0,23.0,1884 (142 yrs old),FMCG,Mumbai +320 other locations
Samvardhana Motherson Group,3.7,Auto Components | Mumbai +93 other locations,12100.0,13.0,1986 (40 yrs old),Auto Components,Mumbai +93 other locations
Kotak Mahindara Life Insurance,3.5,Insurance | Mumbai +257 other locations,12600.0,194.0,2001 (25 yrs old),Insurance,Mumbai +257 other locations
Cogent E Services,3.2,BPO | Mumbai +55 other locations,10300.0,1.0,2004 (22 yrs old),BPO,Mumbai +55 other locations
Altruist Technologies,4.4,BPO | Mumbai +44 other locations,8200.0,8.0,2005 (21 yrs old),BPO,Mumbai +44 other locations
JK Cement,4.0,Building Material | Mumbai +326 other locations,10000.0,1.0,1975 (51 yrs old),Building Material,Mumbai +326 other locations
